time_step,state,pattern,mapped_prev,mapped_current,mapped_next,status,mapped_to,levenshtein_distance,transition_prev_cur,prob_prev_cur,transition_cur_next,prob_cur_next,probability,confidence_score,decision
34,aabb,abba,aabb,abba,bbaa,seen,,,aabb -> abba,0.3076923076923077,abba -> bbaa,0.673469387755102,0.20722135007849293,0.20722135007849293,normal
35,abba,bbaa,abba,bbaa,baab,seen,,,abba -> bbaa,0.673469387755102,bbaa -> baab,0.29245283018867924,0.19695802849441663,0.19695802849441663,normal
36,bbaa,baab,bbaa,baab,aabb,seen,,,bbaa -> baab,0.29245283018867924,baab -> aabb,0.6,0.17547169811320754,0.17547169811320754,normal
37,baab,aabb,baab,aabb,abba,seen,,,baab -> aabb,0.6,aabb -> abba,0.3076923076923077,0.18461538461538463,0.18461538461538463,normal
38,aabb,abba,aabb,abba,bbaa,seen,,,aabb -> abba,0.3076923076923077,abba -> bbaa,0.673469387755102,0.20722135007849293,0.20722135007849293,normal
39,abba,bbaa,abba,bbaa,baaa,seen,,,abba -> bbaa,0.673469387755102,bbaa -> baaa,0.660377358490566,0.444743935309973,0.444743935309973,normal
40,bbaa,baaa,bbaa,baaa,aaaa,seen,,,bbaa -> baaa,0.660377358490566,baaa -> aaaa,0.708029197080292,0.4675664509020796,0.4675664509020796,normal
41,baaa,aaaa,baaa,aaaa,aaaa,seen,,,baaa -> aaaa,0.708029197080292,aaaa -> aaaa,0.8593974175035868,0.608478463487941,0.608478463487941,normal
42,aaaa,aaaa,aaaa,aaaa,aaaa,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaaa,0.8593974175035868,0.7385639212118342,0.7385639212118342,normal
43,aaaa,aaaa,aaaa,aaaa,aaab,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaab,0.13055954088952654,0.11220253227091305,0.11220253227091305,normal
44,aaaa,aaab,aaaa,aaab,aaba,seen,,,aaaa -> aaab,0.13055954088952654,aaab -> aaba,0.4230769230769231,0.055236728837876614,0.055236728837876614,anomaly
45,aaab,aaba,aaab,aaba,abaa,seen,,,aaab -> aaba,0.4230769230769231,aaba -> abaa,0.7941176470588235,0.335972850678733,0.335972850678733,normal
46,aaba,abaa,aaba,abaa,baaa,seen,,,aaba -> abaa,0.7941176470588235,abaa -> baaa,0.8676470588235294,0.6890138408304498,0.6890138408304498,normal
47,abaa,baaa,abaa,baaa,aaab,seen,,,abaa -> baaa,0.8676470588235294,baaa -> aaab,0.27007299270072993,0.23432803778445685,0.23432803778445685,normal
48,baaa,aaab,baaa,aaab,aaba,seen,,,baaa -> aaab,0.27007299270072993,aaab -> aaba,0.4230769230769231,0.11426165075800113,0.11426165075800113,normal
49,aaab,aaba,aaab,aaba,abaa,seen,,,aaab -> aaba,0.4230769230769231,aaba -> abaa,0.7941176470588235,0.335972850678733,0.335972850678733,normal
50,aaba,abaa,aaba,abaa,baaa,seen,,,aaba -> abaa,0.7941176470588235,abaa -> baaa,0.8676470588235294,0.6890138408304498,0.6890138408304498,normal
51,abaa,baaa,abaa,baaa,aaaa,seen,,,abaa -> baaa,0.8676470588235294,baaa -> aaaa,0.708029197080292,0.6143194504079005,0.6143194504079005,normal
52,baaa,aaaa,baaa,aaaa,aaaa,seen,,,baaa -> aaaa,0.708029197080292,aaaa -> aaaa,0.8593974175035868,0.608478463487941,0.608478463487941,normal
53,aaaa,aaaa,aaaa,aaaa,aaaa,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaaa,0.8593974175035868,0.7385639212118342,0.7385639212118342,normal
54,aaaa,aaaa,aaaa,aaaa,aaab,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaab,0.13055954088952654,0.11220253227091305,0.11220253227091305,normal
55,aaaa,aaab,aaaa,aaab,aabb,seen,,,aaaa -> aaab,0.13055954088952654,aaab -> aabb,0.5230769230769231,0.06829268292682927,0.06829268292682927,anomaly
56,aaab,aabb,aaab,aabb,abbb,seen,,,aaab -> aabb,0.5230769230769231,aabb -> abbb,0.5576923076923077,0.291715976331361,0.291715976331361,normal
57,aabb,abbb,aabb,abbb,bbbb,seen,,,aabb -> abbb,0.5576923076923077,abbb -> bbbb,0.5238095238095238,0.29212454212454214,0.29212454212454214,normal
58,abbb,bbbb,abbb,bbbb,bbbb,seen,,,abbb -> bbbb,0.5238095238095238,bbbb -> bbbb,0.6030534351145038,0.31588513267902585,0.31588513267902585,normal
59,bbbb,bbbb,bbbb,bbbb,bbba,seen,,,bbbb -> bbbb,0.6030534351145038,bbbb -> bbba,0.20229007633587787,0.12199172542392635,0.12199172542392635,normal
60,bbbb,bbba,bbbb,bbba,bbab,seen,,,bbbb -> bbba,0.20229007633587787,bbba -> bbab,0.3958333333333333,0.08007315521628498,0.08007315521628498,anomaly
61,bbba,bbab,bbba,bbab,babb,seen,,,bbba -> bbab,0.3958333333333333,bbab -> babb,0.6233766233766234,0.24675324675324672,0.24675324675324672,normal
62,bbab,babb,bbab,babb,abba,seen,,,bbab -> babb,0.6233766233766234,babb -> abba,0.189873417721519,0.11836265000821963,0.11836265000821963,normal
63,babb,abba,babb,abba,bbaa,seen,,,babb -> abba,0.189873417721519,abba -> bbaa,0.673469387755102,0.12787393438388014,0.12787393438388014,normal
64,abba,bbaa,abba,bbaa,baab,seen,,,abba -> bbaa,0.673469387755102,bbaa -> baab,0.29245283018867924,0.19695802849441663,0.19695802849441663,normal
65,bbaa,baab,bbaa,baab,aaba,seen,,,bbaa -> baab,0.29245283018867924,baab -> aaba,0.23636363636363636,0.06912521440823327,0.06912521440823327,anomaly
66,baab,aaba,baab,aaba,abaa,seen,,,baab -> aaba,0.23636363636363636,aaba -> abaa,0.7941176470588235,0.18770053475935827,0.18770053475935827,normal
67,aaba,abaa,aaba,abaa,baaa,seen,,,aaba -> abaa,0.7941176470588235,abaa -> baaa,0.8676470588235294,0.6890138408304498,0.6890138408304498,normal
68,abaa,baaa,abaa,baaa,aaaa,seen,,,abaa -> baaa,0.8676470588235294,baaa -> aaaa,0.708029197080292,0.6143194504079005,0.6143194504079005,normal
69,baaa,aaaa,baaa,aaaa,aaaa,seen,,,baaa -> aaaa,0.708029197080292,aaaa -> aaaa,0.8593974175035868,0.608478463487941,0.608478463487941,normal
70,aaaa,aaaa,aaaa,aaaa,aaac,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaac,0.010043041606886656,0.008630964020839465,0.008630964020839465,anomaly
71,aaaa,aaac,aaaa,aaac,aacb,seen,,,aaaa -> aaac,0.010043041606886656,aaac -> aacb,0.5,0.005021520803443328,0.005021520803443328,anomaly
72,aaac,aacb,aaac,aacb,acba,seen,,,aaac -> aacb,0.5,aacb -> acba,0.2,0.1,0.1,normal
73,aacb,acba,aacb,acba,cbaa,seen,,,aacb -> acba,0.2,acba -> cbaa,0.6666666666666666,0.13333333333333333,0.13333333333333333,normal
74,acba,cbaa,acba,cbaa,baaa,seen,,,acba -> cbaa,0.6666666666666666,cbaa -> baaa,0.32,0.21333333333333332,0.21333333333333332,normal
75,cbaa,baaa,cbaa,baaa,aaaa,seen,,,cbaa -> baaa,0.32,baaa -> aaaa,0.708029197080292,0.22656934306569343,0.22656934306569343,normal
76,baaa,aaaa,baaa,aaaa,aaab,seen,,,baaa -> aaaa,0.708029197080292,aaaa -> aaab,0.13055954088952654,0.09243996690718302,0.09243996690718302,anomaly
77,aaaa,aaab,aaaa,aaab,aabb,seen,,,aaaa -> aaab,0.13055954088952654,aaab -> aabb,0.5230769230769231,0.06829268292682927,0.06829268292682927,anomaly
78,aaab,aabb,aaab,aabb,abbb,seen,,,aaab -> aabb,0.5230769230769231,aabb -> abbb,0.5576923076923077,0.291715976331361,0.291715976331361,normal
79,aabb,abbb,aabb,abbb,bbba,seen,,,aabb -> abbb,0.5576923076923077,abbb -> bbba,0.2761904761904762,0.15402930402930404,0.15402930402930404,normal
80,abbb,bbba,abbb,bbba,bbaa,seen,,,abbb -> bbba,0.2761904761904762,bbba -> bbaa,0.53125,0.14672619047619048,0.14672619047619048,normal
81,bbba,bbaa,bbba,bbaa,baaa,seen,,,bbba -> bbaa,0.53125,bbaa -> baaa,0.660377358490566,0.3508254716981132,0.3508254716981132,normal
82,bbaa,baaa,bbaa,baaa,aaab,seen,,,bbaa -> baaa,0.660377358490566,baaa -> aaab,0.27007299270072993,0.17835008951934994,0.17835008951934994,normal
83,baaa,aaab,baaa,aaab,aaba,seen,,,baaa -> aaab,0.27007299270072993,aaab -> aaba,0.4230769230769231,0.11426165075800113,0.11426165075800113,normal
84,aaab,aaba,aaab,aaba,abaa,seen,,,aaab -> aaba,0.4230769230769231,aaba -> abaa,0.7941176470588235,0.335972850678733,0.335972850678733,normal
85,aaba,abaa,aaba,abaa,baab,seen,,,aaba -> abaa,0.7941176470588235,abaa -> baab,0.1323529411764706,0.1051038062283737,0.1051038062283737,normal
86,abaa,baab,abaa,baab,aabb,seen,,,abaa -> baab,0.1323529411764706,baab -> aabb,0.6,0.07941176470588235,0.07941176470588235,anomaly
87,baab,aabb,baab,aabb,abbb,seen,,,baab -> aabb,0.6,aabb -> abbb,0.5576923076923077,0.3346153846153846,0.3346153846153846,normal
88,aabb,abbb,aabb,abbb,bbbb,seen,,,aabb -> abbb,0.5576923076923077,abbb -> bbbb,0.5238095238095238,0.29212454212454214,0.29212454212454214,normal
89,abbb,bbbb,abbb,bbbb,bbba,seen,,,abbb -> bbbb,0.5238095238095238,bbbb -> bbba,0.20229007633587787,0.10596146855688841,0.10596146855688841,normal
90,bbbb,bbba,bbbb,bbba,bbaa,seen,,,bbbb -> bbba,0.20229007633587787,bbba -> bbaa,0.53125,0.10746660305343511,0.10746660305343511,normal
91,bbba,bbaa,bbba,bbaa,baab,seen,,,bbba -> bbaa,0.53125,bbaa -> baab,0.29245283018867924,0.15536556603773585,0.15536556603773585,normal
92,bbaa,baab,bbaa,baab,aaba,seen,,,bbaa -> baab,0.29245283018867924,baab -> aaba,0.23636363636363636,0.06912521440823327,0.06912521440823327,anomaly
93,baab,aaba,baab,aaba,abaa,seen,,,baab -> aaba,0.23636363636363636,aaba -> abaa,0.7941176470588235,0.18770053475935827,0.18770053475935827,normal
94,aaba,abaa,aaba,abaa,baaa,seen,,,aaba -> abaa,0.7941176470588235,abaa -> baaa,0.8676470588235294,0.6890138408304498,0.6890138408304498,normal
95,abaa,baaa,abaa,baaa,aaaa,seen,,,abaa -> baaa,0.8676470588235294,baaa -> aaaa,0.708029197080292,0.6143194504079005,0.6143194504079005,normal
96,baaa,aaaa,baaa,aaaa,aaab,seen,,,baaa -> aaaa,0.708029197080292,aaaa -> aaab,0.13055954088952654,0.09243996690718302,0.09243996690718302,anomaly
97,aaaa,aaab,aaaa,aaab,aaba,seen,,,aaaa -> aaab,0.13055954088952654,aaab -> aaba,0.4230769230769231,0.055236728837876614,0.055236728837876614,anomaly
98,aaab,aaba,aaab,aaba,abab,seen,,,aaab -> aaba,0.4230769230769231,aaba -> abab,0.19117647058823528,0.08088235294117646,0.08088235294117646,anomaly
99,aaba,abab,aaba,abab,babb,seen,,,aaba -> abab,0.19117647058823528,abab -> babb,0.5833333333333334,0.11151960784313726,0.11151960784313726,normal
100,abab,babb,abab,babb,abbc,seen,,,abab -> babb,0.5833333333333334,babb -> abbc,0.22784810126582278,0.1329113924050633,0.1329113924050633,normal
101,babb,abbc,babb,abbc,bbcc,seen,,,babb -> abbc,0.22784810126582278,abbc -> bbcc,0.4411764705882353,0.10052122114668652,0.10052122114668652,normal
102,abbc,bbcc,abbc,bbcc,bccc,seen,,,abbc -> bbcc,0.4411764705882353,bbcc -> bccc,0.6451612903225806,0.2846299810246679,0.2846299810246679,normal
103,bbcc,bccc,bbcc,bccc,cccc,seen,,,bbcc -> bccc,0.6451612903225806,bccc -> cccc,0.6866666666666666,0.443010752688172,0.443010752688172,normal
104,bccc,cccc,bccc,cccc,cccc,seen,,,bccc -> cccc,0.6866666666666666,cccc -> cccc,0.8252427184466019,0.5666666666666667,0.5666666666666667,normal
105,cccc,cccc,cccc,cccc,cccb,seen,,,cccc -> cccc,0.8252427184466019,cccc -> cccb,0.16828478964401294,0.13887579727903981,0.13887579727903981,normal
106,cccc,cccb,cccc,cccb,ccbb,seen,,,cccc -> cccb,0.16828478964401294,cccb -> ccbb,0.5231788079470199,0.08804303564156969,0.08804303564156969,anomaly
107,cccb,ccbb,cccb,ccbb,cbbb,seen,,,cccb -> ccbb,0.5231788079470199,ccbb -> cbbb,0.525,0.27466887417218544,0.27466887417218544,normal
108,ccbb,cbbb,ccbb,cbbb,bbbb,seen,,,ccbb -> cbbb,0.525,cbbb -> bbbb,0.5104166666666666,0.26796875,0.26796875,normal
109,cbbb,bbbb,cbbb,bbbb,bbbb,seen,,,cbbb -> bbbb,0.5104166666666666,bbbb -> bbbb,0.6030534351145038,0.30780852417302795,0.30780852417302795,normal
110,bbbb,bbbb,bbbb,bbbb,bbbc,seen,,,bbbb -> bbbb,0.6030534351145038,bbbb -> bbbc,0.1946564885496183,0.1173882640871744,0.1173882640871744,normal
111,bbbb,bbbc,bbbb,bbbc,bbcb,seen,,,bbbb -> bbbc,0.1946564885496183,bbbc -> bbcb,0.26666666666666666,0.051908396946564885,0.051908396946564885,anomaly
112,bbbc,bbcb,bbbc,bbcb,bcbb,seen,,,bbbc -> bbcb,0.26666666666666666,bbcb -> bcbb,0.5967741935483871,0.15913978494623657,0.15913978494623657,normal
113,bbcb,bcbb,bbcb,bcbb,cbbb,seen,,,bbcb -> bcbb,0.5967741935483871,bcbb -> cbbb,0.44285714285714284,0.2642857142857143,0.2642857142857143,normal
114,bcbb,cbbb,bcbb,cbbb,bbbc,seen,,,bcbb -> cbbb,0.44285714285714284,cbbb -> bbbc,0.34375,0.15223214285714284,0.15223214285714284,normal
115,cbbb,bbbc,cbbb,bbbc,bbcc,seen,,,cbbb -> bbbc,0.34375,bbbc -> bbcc,0.7238095238095238,0.2488095238095238,0.2488095238095238,normal
116,bbbc,bbcc,bbbc,bbcc,bccc,seen,,,bbbc -> bbcc,0.7238095238095238,bbcc -> bccc,0.6451612903225806,0.466973886328725,0.466973886328725,normal
117,bbcc,bccc,bbcc,bccc,cccb,seen,,,bbcc -> bccc,0.6451612903225806,bccc -> cccb,0.29333333333333333,0.18924731182795698,0.18924731182795698,normal
118,bccc,cccb,bccc,cccb,ccbc,seen,,,bccc -> cccb,0.29333333333333333,cccb -> ccbc,0.3708609271523179,0.10878587196467991,0.10878587196467991,normal
119,cccb,ccbc,cccb,ccbc,cbcb,seen,,,cccb -> ccbc,0.3708609271523179,ccbc -> cbcb,0.35443037974683544,0.13144437924385952,0.13144437924385952,normal
120,ccbc,cbcb,ccbc,cbcb,bcbb,seen,,,ccbc -> cbcb,0.35443037974683544,cbcb -> bcbb,0.38,0.13468354430379748,0.13468354430379748,normal
121,cbcb,bcbb,cbcb,bcbb,cbbb,seen,,,cbcb -> bcbb,0.38,bcbb -> cbbb,0.44285714285714284,0.1682857142857143,0.1682857142857143,normal
122,bcbb,cbbb,bcbb,cbbb,bbbb,seen,,,bcbb -> cbbb,0.44285714285714284,cbbb -> bbbb,0.5104166666666666,0.22604166666666664,0.22604166666666664,normal
123,cbbb,bbbb,cbbb,bbbb,bbbb,seen,,,cbbb -> bbbb,0.5104166666666666,bbbb -> bbbb,0.6030534351145038,0.30780852417302795,0.30780852417302795,normal
124,bbbb,bbbb,bbbb,bbbb,bbbb,seen,,,bbbb -> bbbb,0.6030534351145038,bbbb -> bbbb,0.6030534351145038,0.3636734456034031,0.3636734456034031,normal
125,bbbb,bbbb,bbbb,bbbb,bbbb,seen,,,bbbb -> bbbb,0.6030534351145038,bbbb -> bbbb,0.6030534351145038,0.3636734456034031,0.3636734456034031,normal
126,bbbb,bbbb,bbbb,bbbb,bbba,seen,,,bbbb -> bbbb,0.6030534351145038,bbbb -> bbba,0.20229007633587787,0.12199172542392635,0.12199172542392635,normal
127,bbbb,bbba,bbbb,bbba,bbaa,seen,,,bbbb -> bbba,0.20229007633587787,bbba -> bbaa,0.53125,0.10746660305343511,0.10746660305343511,normal
128,bbba,bbaa,bbba,bbaa,baab,seen,,,bbba -> bbaa,0.53125,bbaa -> baab,0.29245283018867924,0.15536556603773585,0.15536556603773585,normal
129,bbaa,baab,bbaa,baab,aabb,seen,,,bbaa -> baab,0.29245283018867924,baab -> aabb,0.6,0.17547169811320754,0.17547169811320754,normal
130,baab,aabb,baab,aabb,abbb,seen,,,baab -> aabb,0.6,aabb -> abbb,0.5576923076923077,0.3346153846153846,0.3346153846153846,normal
131,aabb,abbb,aabb,abbb,bbba,seen,,,aabb -> abbb,0.5576923076923077,abbb -> bbba,0.2761904761904762,0.15402930402930404,0.15402930402930404,normal
132,abbb,bbba,abbb,bbba,bbaa,seen,,,abbb -> bbba,0.2761904761904762,bbba -> bbaa,0.53125,0.14672619047619048,0.14672619047619048,normal
133,bbba,bbaa,bbba,bbaa,baaa,seen,,,bbba -> bbaa,0.53125,bbaa -> baaa,0.660377358490566,0.3508254716981132,0.3508254716981132,normal
134,bbaa,baaa,bbaa,baaa,aaaa,seen,,,bbaa -> baaa,0.660377358490566,baaa -> aaaa,0.708029197080292,0.4675664509020796,0.4675664509020796,normal
135,baaa,aaaa,baaa,aaaa,aaaa,seen,,,baaa -> aaaa,0.708029197080292,aaaa -> aaaa,0.8593974175035868,0.608478463487941,0.608478463487941,normal
136,aaaa,aaaa,aaaa,aaaa,aaab,seen,,,aaaa -> aaaa,0.8593974175035868,aaaa -> aaab,0.13055954088952654,0.11220253227091305,0.11220253227091305,normal
137,aaaa,aaab,aaaa,aaab,aaba,seen,,,aaaa -> aaab,0.13055954088952654,aaab -> aaba,0.4230769230769231,0.055236728837876614,0.055236728837876614,anomaly
138,aaab,aaba,aaab,aaba,abab,seen,,,aaab -> aaba,0.4230769230769231,aaba -> abab,0.19117647058823528,0.08088235294117646,0.08088235294117646,anomaly
139,aaba,abab,aaba,abab,babb,seen,,,aaba -> abab,0.19117647058823528,abab -> babb,0.5833333333333334,0.11151960784313726,0.11151960784313726,normal
140,abab,babb,abab,babb,abbc,seen,,,abab -> babb,0.5833333333333334,babb -> abbc,0.22784810126582278,0.1329113924050633,0.1329113924050633,normal
141,babb,abbc,babb,abbc,bbcc,seen,,,babb -> abbc,0.22784810126582278,abbc -> bbcc,0.4411764705882353,0.10052122114668652,0.10052122114668652,normal
142,abbc,bbcc,abbc,bbcc,bccb,seen,,,abbc -> bbcc,0.4411764705882353,bbcc -> bccb,0.3387096774193548,0.14943074003795065,0.14943074003795065,normal
143,bbcc,bccb,bbcc,bccb,ccbb,seen,,,bbcc -> bccb,0.3387096774193548,bccb -> ccbb,0.5138888888888888,0.17405913978494622,0.17405913978494622,normal
144,bccb,ccbb,bccb,ccbb,cbba,seen,,,bccb -> ccbb,0.5138888888888888,ccbb -> cbba,0.18333333333333332,0.09421296296296294,0.09421296296296294,anomaly
145,ccbb,cbba,ccbb,cbba,bbaa,seen,,,ccbb -> cbba,0.18333333333333332,cbba -> bbaa,0.44,0.08066666666666666,0.08066666666666666,anomaly
146,cbba,bbaa,cbba,bbaa,baab,seen,,,cbba -> bbaa,0.44,bbaa -> baab,0.29245283018867924,0.12867924528301886,0.12867924528301886,normal
147,bbaa,baab,bbaa,baab,aabc,seen,,,bbaa -> baab,0.29245283018867924,baab -> aabc,0.16363636363636364,0.04785591766723842,0.04785591766723842,anomaly
148,baab,aabc,baab,aabc,abcb,seen,,,baab -> aabc,0.16363636363636364,aabc -> abcb,0.47368421052631576,0.07751196172248803,0.07751196172248803,anomaly
149,aabc,abcb,aabc,abcb,bcbb,seen,,,aabc -> abcb,0.47368421052631576,abcb -> bcbb,0.5384615384615384,0.25506072874493924,0.25506072874493924,normal
150,abcb,bcbb,abcb,bcbb,cbba,seen,,,abcb -> bcbb,0.5384615384615384,bcbb -> cbba,0.34285714285714286,0.1846153846153846,0.1846153846153846,normal
151,bcbb,cbba,bcbb,cbba,bbaa,seen,,,bcbb -> cbba,0.34285714285714286,cbba -> bbaa,0.44,0.15085714285714286,0.15085714285714286,normal
152,cbba,bbaa,cbba,bbaa,baab,seen,,,cbba -> bbaa,0.44,bbaa -> baab,0.29245283018867924,0.12867924528301886,0.12867924528301886,normal
153,bbaa,baab,bbaa,baab,aabb,seen,,,bbaa -> baab,0.29245283018867924,baab -> aabb,0.6,0.17547169811320754,0.17547169811320754,normal
154,baab,aabb,baab,aabb,abbb,seen,,,baab -> aabb,0.6,aabb -> abbb,0.5576923076923077,0.3346153846153846,0.3346153846153846,normal
155,aabb,abbb,aabb,abbb,bbba,seen,,,aabb -> abbb,0.5576923076923077,abbb -> bbba,0.2761904761904762,0.15402930402930404,0.15402930402930404,normal
156,abbb,bbba,abbb,bbba,bbab,seen,,,abbb -> bbba,0.2761904761904762,bbba -> bbab,0.3958333333333333,0.10932539682539683,0.10932539682539683,normal
157,bbba,bbab,bbba,bbab,babb,seen,,,bbba -> bbab,0.3958333333333333,bbab -> babb,0.6233766233766234,0.24675324675324672,0.24675324675324672,normal
158,bbab,babb,bbab,babb,abbb,seen,,,bbab -> babb,0.6233766233766234,babb -> abbb,0.5822784810126582,0.36297879335854016,0.36297879335854016,normal
159,babb,abbb,babb,abbb,bbbb,seen,,,babb -> abbb,0.5822784810126582,abbb -> bbbb,0.5238095238095238,0.3050030138637734,0.3050030138637734,normal
160,abbb,bbbb,abbb,bbbb,bbbb,seen,,,abbb -> bbbb,0.5238095238095238,bbbb -> bbbb,0.6030534351145038,0.31588513267902585,0.31588513267902585,normal
161,bbbb,bbbb,bbbb,bbbb,bbbb,seen,,,bbbb -> bbbb,0.6030534351145038,bbbb -> bbbb,0.6030534351145038,0.3636734456034031,0.3636734456034031,normal
